timestamp,eventCount
"2018-09-29T08:00:00Z",121
"2018-09-28T15:30:00Z",1254
"2018-09-29T11:45:00Z",1100
"2018-09-29T12:00:00Z",1204
"2018-09-29T12:15:00Z",1072
"2018-09-29T12:30:00Z",1218
"2018-09-29T12:45:00Z",1197
"2018-09-29T13:15:00Z",1527
"2018-09-29T13:30:00Z",1326
"2018-09-29T21:45:00Z",415
"2018-09-29T23:00:00Z",336
"2018-09-29T23:15:00Z",408
"2018-09-29T23:45:00Z",319
"2018-09-30T00:00:00Z",351
"2018-09-30T01:15:00Z",366
"2018-09-30T01:30:00Z",341
"2018-09-30T01:45:00Z",403
"2018-09-30T02:45:00Z",297
"2018-09-27T07:00:00Z",88
"2018-09-26T14:45:00Z",1399
"2018-09-26T15:00:00Z",1422
"2018-09-26T15:15:00Z",1459
"2018-09-26T15:30:00Z",1278
"2018-09-26T15:45:00Z",1255
"2018-09-26T16:15:00Z",1336
"2018-09-26T09:30:00Z",540
"2018-09-26T09:45:00Z",550
"2018-09-26T10:15:00Z",753
"2018-09-26T10:30:00Z",945
"2018-09-26T10:45:00Z",928
"2018-09-26T11:00:00Z",1218
"2018-09-26T11:15:00Z",1736
"2018-09-26T11:30:00Z",1629
"2018-09-26T11:45:00Z",1529
"2018-09-26T07:15:00Z",47
"2018-09-26T07:30:00Z",69
"2018-09-26T07:45:00Z",125
"2018-09-26T08:00:00Z",141
"2018-09-26T08:15:00Z",137
"2018-09-26T08:30:00Z",287
"2018-09-26T09:00:00Z",407
"2018-09-26T20:45:00Z",713
"2018-09-27T02:45:00Z",262
"2018-09-28T04:00:00Z",190
"2018-09-28T01:15:00Z",388
"2018-09-28T01:30:00Z",427
"2018-09-27T22:15:00Z",435
"2018-09-27T22:30:00Z",517
"2018-09-27T22:45:00Z",467
"2018-09-27T23:00:00Z",514
"2018-09-27T23:15:00Z",570
"2018-09-27T23:30:00Z",563
"2018-09-27T23:45:00Z",485
"2018-09-27T11:15:00Z",1179
"2018-09-27T11:30:00Z",1291
"2018-09-27T11:45:00Z",1260
"2018-09-27T12:00:00Z",1691
"2018-09-27T12:15:00Z",1609
"2018-09-27T11:00:00Z",1013
"2018-09-27T13:15:00Z",1791
"2018-09-27T15:30:00Z",1250
"2018-09-27T15:45:00Z",1202
"2018-09-27T16:00:00Z",1191
"2018-09-27T16:30:00Z",1180
